time,seconds_elapsed,dBFS
1687531675631000000,0.075,-160
1687531675749000000,0.193,-160
1687531675867000000,0.311,-160
1687531675983000000,0.427,-160
1687531676100000000,0.544,-138
1687531676219000000,0.663,-127
1687531676337000000,0.781,-116
1687531676455000000,0.899,-115
1687531676570000000,1.013999755859375,-105
1687531676688000000,1.132,-91
1687531676805000000,1.249,-85
1687531676923000000,1.367,-66
1687531677040000000,1.484,-56
1687531677158000000,1.602000244140625,-52
1687531677274000000,1.717999755859375,-37
1687531677390000000,1.834000244140625,-35
1687531677511000000,1.955,-36
1687531677624000000,2.068,-36
1687531677743000000,2.187,-39
1687531677860000000,2.304,-38
1687531677977000000,2.421,-34
1687531678093000000,2.537,-34
1687531678211000000,2.655,-41
1687531678326000000,2.770000244140625,-40
1687531678445000000,2.889,-27
1687531678563000000,3.007,-35
1687531678680000000,3.124,-26
1687531678796000000,3.24,-19
1687531678914000000,3.357999755859375,-29
1687531679032000000,3.476,-2
1687531679148000000,3.592,-11
1687531679267000000,3.711,-22
1687531679383000000,3.827,-28
1687531679515000000,3.959,-33
1687531679633000000,4.077,-31
1687531679751000000,4.195,-35
1687531679868000000,4.312,-21
1687531679984000000,4.428,-22
1687531680101000000,4.545,-31
1687531680220000000,4.664,-32
1687531680337000000,4.781,-26
1687531680453000000,4.897,-36
1687531680569000000,5.013,-32
1687531680689000000,5.133,-33
1687531680805000000,5.249,-29
1687531680924000000,5.368,-27
1687531681040000000,5.484,-34
1687531681156000000,5.6,-33
1687531681273000000,5.717,-33
1687531681390000000,5.834000244140625,-22
1687531681524000000,5.968,-29
1687531681643000000,6.087,-33
1687531681760000000,6.204,-29
1687531681877000000,6.321,-32
1687531681993000000,6.437,-37
