time,seconds_elapsed,dBFS
1687531851877000000,0.075,-160
1687531851994000000,0.191999755859375,-160
1687531852111000000,0.309,-160
1687531852229000000,0.427,-160
1687531852345000000,0.543,-129
1687531852463000000,0.661,-21
1687531852584000000,0.782,-38
1687531852699000000,0.897,-69
1687531852815000000,1.013,-94
1687531852934000000,1.132000244140625,-18
1687531853052000000,1.25,-5
1687531853168000000,1.366,-58
1687531853284000000,1.482,-87
1687531853402000000,1.599999755859375,-39
1687531853519000000,1.717,-27
1687531853635000000,1.833,-69
1687531853753000000,1.951,-104
1687531853869000000,2.067,-120
1687531853986000000,2.183999755859375,-21
1687531854105000000,2.303,-32
1687531854223000000,2.421,-71
1687531854340000000,2.538,-101
1687531854456000000,2.654,-117
1687531854573000000,2.771,-21
1687531854692000000,2.89,-48
1687531854808000000,3.006,-80
1687531854924000000,3.122,-102
1687531855043000000,3.241,-116
1687531855158000000,3.356000244140625,-25
1687531855276000000,3.474,-28
1687531855393000000,3.591,-66
1687531855512000000,3.71,-102
1687531855628000000,3.826,-117
1687531855747000000,3.945,-24
1687531855861000000,4.059,-40
1687531855979000000,4.177,-74
1687531856096000000,4.294,-101
1687531856214000000,4.412000244140625,-113
1687531856331000000,4.529,-15
1687531856450000000,4.647999755859375,-30
1687531856566000000,4.764000244140625,-58
1687531856683000000,4.881,-91
1687531856799000000,4.997,-107
1687531856916000000,5.114,-17
1687531857033000000,5.231,-23
1687531857157000000,5.355,-65
