time,seconds_elapsed,dBFS
1687531693137000000,0.073,-160
1687531693255000000,0.191,-160
1687531693372000000,0.308,-160
1687531693490000000,0.425999755859375,-160
1687531693607000000,0.543,-61
1687531693723000000,0.659,-35
1687531693844000000,0.78,-30
1687531693960000000,0.896,-34
1687531694077000000,1.013,-35
1687531694195000000,1.131,-30
1687531694312000000,1.248,-33
1687531694427000000,1.363,-36
1687531694546000000,1.481999755859375,-37
1687531694662000000,1.598000244140625,-37
1687531694780000000,1.716,-32
1687531694897000000,1.833,-31
1687531695028000000,1.964,-28
1687531695147000000,2.083,-30
1687531695265000000,2.201,-29
1687531695381000000,2.317,-28
1687531695501000000,2.437,-31
1687531695619000000,2.555,-20
1687531695736000000,2.672,-29
1687531695852000000,2.788,-31
1687531695969000000,2.905,-31
1687531696084000000,3.02,-32
1687531696201000000,3.137,-32
1687531696319000000,3.255,-32
1687531696438000000,3.374000244140625,-30
1687531696555000000,3.491,-36
1687531696674000000,3.609999755859375,-18
1687531696787000000,3.723,-35
1687531696905000000,3.841,-21
1687531697039000000,3.975,-30
1687531697156000000,4.092,-32
1687531697273000000,4.209,-34
1687531697393000000,4.329,-33
1687531697508000000,4.444,-35
1687531697624000000,4.56,-32
1687531697741000000,4.677,-31
1687531697859000000,4.795,-34
1687531697976000000,4.912,-27
1687531698094000000,5.030000244140625,-32
1687531698212000000,5.148,-22
1687531698327000000,5.263,-31
1687531698444000000,5.38,-31
