time,seconds_elapsed,dBFS
1688491967764000000,0.068,-160
1688491967883000000,0.187,-160
1688491968001000000,0.305,-160
1688491968116000000,0.42,-160
1688491968233000000,0.537,-78
1688491968350000000,0.654000244140625,-70
1688491968469000000,0.773,-62
1688491968585000000,0.889,-62
1688491968703000000,1.007,-61
1688491968822000000,1.126000244140625,-59
1688491968937000000,1.241,-63
1688491969055000000,1.359,-56
1688491969172000000,1.476,-60
1688491969288000000,1.592,-63
1688491969409000000,1.713,-61
1688491969524000000,1.828,-60
1688491969643000000,1.947,-54
1688491969759000000,2.063,-61
1688491969873000000,2.177,-61
1688491969991000000,2.295,-58
1688491970109000000,2.413,-62
1688491970227000000,2.531,-37
1688491970344000000,2.648,-43
1688491970465000000,2.769,-53
1688491970582000000,2.886000244140625,-59
1688491970694000000,2.998000244140625,-42
1688491970811000000,3.115,-52
1688491970928000000,3.232,-95
1688491971046000000,3.350000244140625,-112
1688491971164000000,3.468,-120
1688491971281000000,3.585,-52
1688491971396000000,3.7,-60
1688491971514000000,3.817999755859375,-61
1688491971630000000,3.934000244140625,-61
1688491971748000000,4.052,-45
1688491971865000000,4.169,-71
1688491971984000000,4.288,-113
1688491972101000000,4.405,-132
1688491972217000000,4.521,-50
1688491972335000000,4.639,-51
1688491972450000000,4.753999755859375,-56
1688491972569000000,4.873,-57
1688491972687000000,4.991,-44
1688491972807000000,5.111,-53
1688491972922000000,5.225999755859375,-102
1688491973035000000,5.339,-119
1688491973154000000,5.457999755859375,-134
1688491973269000000,5.573,-49
1688491973388000000,5.692,-54
1688491973505000000,5.809,-56
1688491973621000000,5.925,-55
1688491973740000000,6.044,-43
1688491973857000000,6.161,-71
1688491973973000000,6.277,-110
1688491974091000000,6.395,-122
