time,seconds_elapsed,dBFS
1687528384170000000,0.035999755859375,-55.47464370727539
1687528384266000000,0.131999755859375,-54.04526138305664
1687528384367000000,0.233,-57.95014953613281
1687528384483000000,0.349,-56.83604049682617
1687528384584000000,0.45,-55.48040008544922
1687528384685000000,0.551,-42.80946350097656
1687528384800000000,0.666,-43.53815460205078
1687528384900000000,0.766,-36.08329391479492
1687528385001000000,0.867,-34.20594024658203
1687528385101000000,0.967,-34.69635772705078
1687528385201000000,1.067,-34.89645767211914
1687528385301000000,1.167,-35.308712005615234
1687528385401000000,1.267,-34.19921875
1687528385518000000,1.384000244140625,-35.2033805847168
1687528385618000000,1.483999755859375,-33.899993896484375
1687528385718000000,1.584000244140625,-34.782737731933594
1687528385836000000,1.702,-33.206207275390625
1687528385934000000,1.800000244140625,-33.958740234375
1687528386036000000,1.902,-32.096839904785156
1687528386151000000,2.017,-31.835426330566406
1687528386269000000,2.135,-30.99054718017578
1687528386385000000,2.251,-32.44362258911133
1687528386484000000,2.35,-29.341920852661133
1687528386585000000,2.451,-30.669387817382812
1687528386685000000,2.551,-31.51860809326172
1687528386785000000,2.651,-31.695114135742188
1687528386885000000,2.751,-29.749019622802734
1687528386985000000,2.851,-30.700925827026367
1687528387101000000,2.967,-31.238569259643555
1687528387202000000,3.067999755859375,-31.934850692749023
1687528387302000000,3.168000244140625,-31.102336883544922
1687528387402000000,3.267999755859375,-31.812875747680664
1687528387519000000,3.385,-32.572261810302734
1687528387619000000,3.485,-31.82461166381836
1687528387737000000,3.603,-31.551820755004883
1687528387837000000,3.703,-31.874353408813477
1687528387937000000,3.803,-32.56178665161133
1687528388037000000,3.903,-33.09409713745117
1687528388153000000,4.019,-33.793800354003906
1687528388253000000,4.119,-34.589412689208984
1687528388353000000,4.219,-34.30376434326172
1687528388453000000,4.319,-35.3912353515625
1687528388553000000,4.419,-36.59278869628906
1687528388653000000,4.519,-36.6488151550293
1687528388753000000,4.619,-36.2415657043457
1687528388853000000,4.719,-33.22631072998047
1687528388953000000,4.819,-34.31467819213867
1687528389053000000,4.919,-35.25587844848633
1687528389153000000,5.019,-36.71208190917969
1687528389253000000,5.119,-35.6237907409668
1687528389354000000,5.219999755859375,-36.57988739013672
1687528389470000000,5.336000244140625,-35.79526901245117
1687528389570000000,5.435999755859375,-36.85520935058594
1687528389670000000,5.536000244140625,-37.38311004638672
1687528389770000000,5.635999755859375,-36.494056701660156
1687528389870000000,5.736000244140625,-36.92626953125
1687528389970000000,5.835999755859375,-36.89613723754883
1687528390070000000,5.936000244140625,-36.10606002807617
1687528390187000000,6.053,-35.427215576171875
1687528390287000000,6.153,-35.59144973754883
1687528390387000000,6.253,-35.88054656982422
