time,seconds_elapsed,dBFS
1687531890013000000,0.07,-160
1687531890132000000,0.189,-160
1687531890249000000,0.306,-160
1687531890366000000,0.423000244140625,-160
1687531890483000000,0.54,-156
1687531890601000000,0.658,-44
1687531890718000000,0.775000244140625,-67
1687531890835000000,0.892,-93
1687531890951000000,1.008,-15
1687531891071000000,1.128,-47
1687531891188000000,1.245,-83
1687531891305000000,1.362,-2
1687531891422000000,1.479000244140625,-46
1687531891538000000,1.594999755859375,-19
1687531891657000000,1.714,-33
1687531891773000000,1.83,-69
1687531891906000000,1.962999755859375,-29
1687531892022000000,2.079000244140625,-40
1687531892140000000,2.197,-73
1687531892256000000,2.313,-13
1687531892375000000,2.432,-12
1687531892491000000,2.548,-50
1687531892611000000,2.668,-10
1687531892727000000,2.784,-12
1687531892844000000,2.901,-50
1687531892960000000,3.017,-82
1687531893079000000,3.136,-15
1687531893195000000,3.252,-42
1687531893313000000,3.37,-75
1687531893432000000,3.489,-19
1687531893548000000,3.605,-48
1687531893663000000,3.72,-78
1687531893780000000,3.837,-4
1687531893911000000,3.968,-14
1687531894015000000,4.072,-50
1687531894134000000,4.191000244140625,-78
1687531894249000000,4.306,-106
1687531894370000000,4.426999755859375,-129
1687531894484000000,4.541,-13
1687531894601000000,4.658,-47
1687531894719000000,4.776,-85
1687531894835000000,4.892,-115
1687531894954000000,5.010999755859375,-135
1687531895070000000,5.127000244140625,-138
1687531895186000000,5.242999755859375,-4
1687531895303000000,5.36,-19
