time,seconds_elapsed,dBFS
1683618295335000000,0.001,-49.50216293334961
1683618295421000000,0.087,-50.85620880126953
1683618295522000000,0.187999755859375,-49.428775787353516
1683618295622000000,0.288000244140625,-49.1431884765625
1683618295722000000,0.387999755859375,-49.577571868896484
1683618295822000000,0.488000244140625,-53.201786041259766
1683618295922000000,0.587999755859375,-51.06543731689453
1683618296022000000,0.688000244140625,-53.35710525512695
1683618296122000000,0.787999755859375,-55.542518615722656
1683618296225000000,0.891,-52.80923080444336
1683618296339000000,1.005,-46.88573455810547
1683618296456000000,1.122,-49.79638671875
1683618296556000000,1.222,-50.90658187866211
1683618296656000000,1.322,-49.77860641479492
1683618296756000000,1.422,-51.4697380065918
1683618296856000000,1.522,-50.11920166015625
1683618296956000000,1.622,-52.199798583984375
1683618297056000000,1.722,-48.42948532104492
1683618297156000000,1.822,-47.12031555175781
1683618297256000000,1.922,-50.07306671142578
1683618297373000000,2.039,-49.20668029785156
1683618297473000000,2.139,-51.37141036987305
1683618297573000000,2.239,-49.50982666015625
1683618297673000000,2.339,-51.51660919189453
1683618297773000000,2.439,-52.300323486328125
1683618297873000000,2.539,-18.419599533081055
1683618297973000000,2.639,-18.909927368164062
1683618298074000000,2.739999755859375,-21.334882736206055
1683618298190000000,2.856000244140625,-20.66405487060547
1683618298290000000,2.955999755859375,-24.51603889465332
1683618298390000000,3.056000244140625,-27.959083557128906
1683618298490000000,3.155999755859375,-31.493162155151367
1683618298591000000,3.257,-35.005741119384766
1683618298707000000,3.373,-38.54746627807617
1683618298808000000,3.474,-41.64097213745117
1683618298907000000,3.573,-44.469703674316406
1683618299007000000,3.673,-47.91288375854492
1683618299108000000,3.774,-49.632667541503906
1683618299224000000,3.89,-52.909759521484375
1683618299324000000,3.99,-50.86410140991211
1683618299424000000,4.09,-46.83052444458008
1683618299524000000,4.19,-36.302066802978516
1683618299624000000,4.29,-36.87804412841797
1683618299725000000,4.391,-37.52486801147461
1683618299841000000,4.507,-33.424922943115234
1683618299941000000,4.607,-34.97681427001953
1683618300041000000,4.707,-37.7730598449707
1683618300141000000,4.807,-42.1638069152832
1683618300241000000,4.907,-44.77274703979492
1683618300342000000,5.008000244140625,-33.69648361206055
1683618300442000000,5.107999755859375,-36.82835388183594
