time,seconds_elapsed,dBFS
1683618201847000000,0,-53.811866760253906
1683618201944000000,0.097,-47.852333068847656
1683618202045000000,0.198,-51.50477981567383
1683618202145000000,0.298,-44.10287857055664
1683618202245000000,0.398,-43.57659912109375
1683618202345000000,0.498,-45.59105682373047
1683618202445000000,0.598,-49.00703430175781
1683618202545000000,0.698,-53.0506706237793
1683618202662000000,0.815000244140625,-25.72313690185547
1683618202762000000,0.914999755859375,-28.617769241333008
1683618202862000000,1.015000244140625,-31.87848663330078
1683618202963000000,1.116,-35.99879837036133
1683618203079000000,1.232,-17.06170654296875
1683618203179000000,1.332,-19.686731338500977
1683618203279000000,1.432,-22.938745498657227
1683618203379000000,1.532,-27.12230682373047
1683618203479000000,1.632,-31.036901473999023
1683618203579000000,1.732,-34.855953216552734
1683618203679000000,1.832,-38.68283462524414
1683618203779000000,1.932,-43.259315490722656
1683618203879000000,2.032,-46.59656524658203
