time,seconds_elapsed,dBFS
1683618361633000000,0.001,-55.803653717041016
1683618361724000000,0.092,-48.180110931396484
1683618361825000000,0.193,-51.270957946777344
1683618361926000000,0.294000244140625,-53.72718811035156
1683618362027000000,0.395,-55.70255661010742
1683618362142000000,0.510000244140625,-57.57699203491211
1683618362242000000,0.609999755859375,-53.589054107666016
1683618362343000000,0.711,-53.898193359375
1683618362443000000,0.811,-55.70295715332031
1683618362543000000,0.911,-52.606571197509766
1683618362643000000,1.011,-15.922375679016113
1683618362760000000,1.128,-13.986228942871094
1683618362860000000,1.228,-13.652266502380371
1683618362960000000,1.328,-18.31325912475586
1683618363076000000,1.444,-22.78961753845215
1683618363176000000,1.544,-25.980268478393555
1683618363277000000,1.645,-29.743074417114258
1683618363377000000,1.745,-34.079917907714844
1683618363477000000,1.845,-37.210784912109375
1683618363577000000,1.945,-40.19053268432617
1683618363677000000,2.045,-44.067787170410156
1683618363777000000,2.145,-47.153709411621094
1683618363877000000,2.245,-49.00283432006836
1683618363977000000,2.345,-50.43478775024414
1683618364094000000,2.462000244140625,-53.291419982910156
1683618364194000000,2.561999755859375,-54.15304183959961
1683618364294000000,2.662000244140625,-55.61760711669922
1683618364394000000,2.761999755859375,-57.80876922607422
1683618364494000000,2.862000244140625,-53.12328338623047
1683618364594000000,2.961999755859375,-53.698158264160156
1683618364694000000,3.062000244140625,-54.32044219970703
