time,seconds_elapsed,dBFS
1687529657732000000,0.071,-160
1687529657850000000,0.188999755859375,-160
1687529657966000000,0.305000244140625,-160
1687529658084000000,0.423,-160
1687529658201000000,0.54,-76
1687529658318000000,0.657000244140625,-58
1687529658435000000,0.774,-53
1687529658554000000,0.892999755859375,-57
1687529658670000000,1.009000244140625,-53
1687529658789000000,1.128,-58
1687529658906000000,1.244999755859375,-57
1687529659024000000,1.363,-50
1687529659141000000,1.48,-52
1687529659256000000,1.595,-38
1687529659373000000,1.712,-38
1687529659491000000,1.83,-43
1687529659623000000,1.962,-42
1687529659742000000,2.081000244140625,-47
1687529659858000000,2.196999755859375,-39
1687529659976000000,2.315,-38
1687529660093000000,2.432,-39
1687529660209000000,2.548,-47
1687529660326000000,2.665000244140625,-38
1687529660442000000,2.780999755859375,-48
1687529660560000000,2.899,-53
1687529660677000000,3.016,-44
1687529660794000000,3.132999755859375,-57
1687529660910000000,3.249000244140625,-54
1687529661028000000,3.367,-46
1687529661147000000,3.486,-49
1687529661262000000,3.601000244140625,-48
1687529661379000000,3.718,-53
1687529661496000000,3.835,-50
1687529661611000000,3.95,-45
1687529661715000000,4.054,-54
1687529661831000000,4.17,-53
1687529661949000000,4.288,-51
1687529662067000000,4.406,-51
1687529662187000000,4.526,-50
1687529662300000000,4.639,-53
1687529662420000000,4.759,-56
1687529662535000000,4.874,-56
1687529662651000000,4.99,-57
1687529662769000000,5.108,-55
1687529662887000000,5.226,-55
1687529663004000000,5.343,-56
1687529663121000000,5.46,-60
1687529663236000000,5.575,-58
1687529663353000000,5.692,-60
1687529663470000000,5.809000244140625,-62
1687529663588000000,5.927,-57
1687529663704000000,6.043,-47
1687529663808000000,6.147,-57
1687529663925000000,6.264,-61
1687529664042000000,6.380999755859375,-60
1687529664160000000,6.499,-57
1687529664276000000,6.615,-59
1687529664393000000,6.732,-57
1687529664510000000,6.849000244140625,-60
1687529664627000000,6.966,-53
1687529664746000000,7.084999755859375,-53
1687529664862000000,7.201000244140625,-51
1687529664980000000,7.319,-53
1687529665096000000,7.435,-65
1687529665213000000,7.552,-56
1687529665331000000,7.67,-49
1687529665448000000,7.787,-61
1687529665566000000,7.905000244140625,-54
1687529665683000000,8.022,-56
1687529665797000000,8.136,-72
1687529665913000000,8.252,-63
1687529666030000000,8.369000244140626,-66
1687529666147000000,8.486,-65
1687529666265000000,8.604,-68
1687529666381000000,8.72,-73
1687529666495000000,8.834,-72
1687529666611000000,8.95,-63
1687529666718000000,9.057000244140625,-69
1687529666835000000,9.174,-73
1687529666953000000,9.292,-72
1687529667070000000,9.409000244140625,-71
1687529667188000000,9.527,-75
1687529667305000000,9.644,-76
1687529667423000000,9.762,-77
1687529667540000000,9.879,-77
1687529667657000000,9.996,-70
1687529667772000000,10.111,-74
1687529667889000000,10.228,-71
1687529668009000000,10.348,-75
1687529668124000000,10.463,-76
1687529668241000000,10.58,-72
1687529668357000000,10.696,-74
1687529668475000000,10.814,-73
1687529668592000000,10.931,-73
1687529668708000000,11.047,-74
1687529668826000000,11.164999755859375,-68
1687529668944000000,11.283,-71
1687529669062000000,11.401000244140626,-70
1687529669179000000,11.518,-72
1687529669294000000,11.633000244140625,-71
1687529669413000000,11.752,-73
1687529669533000000,11.872,-69
1687529669650000000,11.988999755859375,-73
1687529669764000000,12.103,-73
1687529669881000000,12.22,-67
1687529669996000000,12.335,-74
1687529670114000000,12.452999755859375,-73
1687529670231000000,12.57,-74
1687529670348000000,12.687,-64
1687529670468000000,12.807,-74
1687529670585000000,12.924,-73
1687529670696000000,13.035,-73
1687529670800000000,13.139,-72
1687529670915000000,13.254,-71
1687529671032000000,13.371,-73
1687529671148000000,13.487,-71
1687529671266000000,13.604999755859374,-71
1687529671382000000,13.721000244140624,-75
1687529671498000000,13.836999755859376,-70
1687529671614000000,13.953000244140625,-75
1687529671730000000,14.068999755859375,-76
1687529671847000000,14.186,-70
1687529671966000000,14.305000244140626,-72
1687529672079000000,14.418,-74
1687529672195000000,14.534,-72
1687529672312000000,14.651,-75
1687529672430000000,14.769000244140624,-67
1687529672546000000,14.884999755859376,-44
1687529672662000000,15.001000244140625,-69
1687529672774000000,15.113000244140625,-69
1687529672893000000,15.232,-71
1687529673010000000,15.348999755859374,-58
1687529673129000000,15.468,-72
1687529673249000000,15.588,-74
1687529673364000000,15.703,-69
1687529673484000000,15.823,-64
1687529673602000000,15.940999755859375,-53
1687529673719000000,16.058,-54
1687529673836000000,16.175,-61
1687529673955000000,16.294,-57
1687529674073000000,16.412,-67
1687529674191000000,16.53,-66
1687529674309000000,16.648,-65
1687529674428000000,16.767,-67
1687529674546000000,16.884999755859376,-63
1687529674663000000,17.002,-65
1687529674782000000,17.121000244140625,-67
1687529674901000000,17.24,-64
1687529675018000000,17.356999755859373,-64
1687529675135000000,17.474,-66
1687529675253000000,17.592,-66
1687529675370000000,17.708999755859374,-65
1687529675489000000,17.828,-58
1687529675607000000,17.946,-55
1687529675725000000,18.064,-47
1687529675843000000,18.182,-62
1687529675961000000,18.3,-62
1687529676080000000,18.419,-66
1687529676197000000,18.536,-63
1687529676314000000,18.652999755859376,-60
1687529676431000000,18.77,-52
1687529676549000000,18.888,-67
1687529676667000000,19.006,-62
1687529676771000000,19.11,-66
1687529676889000000,19.228,-66
1687529677006000000,19.345000244140625,-65
1687529677125000000,19.464,-65
1687529677240000000,19.579,-59
1687529677356000000,19.695,-66
1687529677475000000,19.814,-63
1687529677591000000,19.93,-61
1687529677708000000,20.047,-65
1687529677826000000,20.164999755859377,-60
1687529677944000000,20.283,-66
1687529678060000000,20.399,-51
1687529678177000000,20.516,-60
1687529678293000000,20.632,-59
1687529678410000000,20.748999755859376,-62
1687529678528000000,20.867,-66
1687529678644000000,20.983,-63
1687529678762000000,21.100999755859377,-61
1687529678879000000,21.218,-58
1687529678995000000,21.334,-57
1687529679111000000,21.45,-64
1687529679228000000,21.567,-62
1687529679346000000,21.684999755859376,-67
1687529679463000000,21.802,-66
1687529679579000000,21.918,-60
1687529679693000000,22.032,-65
1687529679810000000,22.148999755859375,-67
1687529679927000000,22.266,-68
1687529680045000000,22.384,-66
1687529680161000000,22.5,-64
1687529680276000000,22.615,-63
1687529680393000000,22.732,-66
1687529680508000000,22.847,-55
1687529680628000000,22.967,-58
1687529680739000000,23.078,-58
1687529680855000000,23.194,-64
1687529680973000000,23.312,-62
1687529681092000000,23.431,-59
1687529681209000000,23.548,-61
1687529681326000000,23.665000244140625,-67
1687529681445000000,23.784,-62
1687529681562000000,23.900999755859374,-57
1687529681679000000,24.018,-48
1687529681791000000,24.13,-56
1687529681908000000,24.247,-56
1687529682026000000,24.364999755859376,-56
1687529682143000000,24.482,-58
1687529682261000000,24.6,-60
1687529682376000000,24.715,-53
1687529682493000000,24.832,-52
1687529682610000000,24.948999755859376,-53
1687529682729000000,25.068,-54
1687529682845000000,25.184,-55
1687529682962000000,25.300999755859376,-53
1687529683080000000,25.419,-51
1687529683197000000,25.536,-48
1687529683329000000,25.668,-46
1687529683449000000,25.788,-52
1687529683567000000,25.906,-45
1687529683675000000,26.014,-55
1687529683779000000,26.118,-54
1687529683896000000,26.235,-53
1687529684013000000,26.352,-51
1687529684130000000,26.468999755859375,-42
1687529684248000000,26.587,-48
1687529684363000000,26.702,-52
1687529684481000000,26.82,-51
1687529684598000000,26.937000244140624,-57
1687529684713000000,27.052,-53
1687529684830000000,27.169000244140626,-47
1687529684948000000,27.287,-54
1687529685063000000,27.402,-43
1687529685180000000,27.519,-48
1687529685295000000,27.634,-55
1687529685413000000,27.752,-56
1687529685532000000,27.871,-57
1687529685645000000,27.984,-57
1687529685755000000,28.094,-48
1687529685874000000,28.212999755859375,-53
1687529685991000000,28.33,-42
1687529686108000000,28.447,-52
1687529686226000000,28.564999755859375,-57
1687529686344000000,28.683,-57
1687529686462000000,28.801000244140624,-50
1687529686579000000,28.918,-53
1687529686694000000,29.033000244140624,-54
1687529686813000000,29.152,-49
1687529686929000000,29.268,-54
1687529687047000000,29.386,-50
1687529687166000000,29.505000244140625,-54
1687529687283000000,29.622,-51
1687529687400000000,29.739,-49
1687529687517000000,29.856,-51
1687529687633000000,29.972,-53
1687529687747000000,30.086,-46
1687529687865000000,30.204,-58
1687529687983000000,30.322,-56
1687529688100000000,30.439,-51
1687529688218000000,30.556999755859376,-53
1687529688337000000,30.676,-43
1687529688453000000,30.792,-47
1687529688571000000,30.91,-35
1687529688689000000,31.028,-50
1687529688809000000,31.148,-46
1687529688925000000,31.264,-46
1687529689043000000,31.382,-52
1687529689161000000,31.5,-55
1687529689278000000,31.617000244140623,-46
1687529689396000000,31.735,-43
1687529689514000000,31.852999755859376,-50
1687529689630000000,31.969000244140624,-50
1687529689738000000,32.076999755859376,-49
1687529689855000000,32.194,-46
1687529689973000000,32.312,-55
1687529690091000000,32.43,-57
1687529690207000000,32.546,-54
1687529690323000000,32.662,-56
1687529690441000000,32.78,-39
1687529690556000000,32.895,-49
1687529690673000000,33.012,-49
1687529690790000000,33.12900024414063,-55
1687529690908000000,33.247,-56
1687529691025000000,33.364,-51
1687529691143000000,33.482,-47
1687529691257000000,33.596,-55
1687529691373000000,33.712,-50
1687529691490000000,33.82899975585938,-40
1687529691609000000,33.948,-49
1687529691723000000,34.062,-53
1687529691839000000,34.178,-52
1687529691955000000,34.294,-42
1687529692071000000,34.41,-53
1687529692190000000,34.529000244140626,-52
1687529692305000000,34.644,-51
1687529692421000000,34.76,-51
1687529692539000000,34.878,-49
1687529692654000000,34.993000244140624,-57
1687529692767000000,35.106,-50
1687529692883000000,35.222,-57
1687529692999000000,35.338,-47
1687529693116000000,35.455,-53
1687529693234000000,35.57299975585938,-43
1687529693350000000,35.68900024414062,-50
1687529693465000000,35.804,-51
1687529693585000000,35.924,-47
1687529693703000000,36.042,-43
1687529693821000000,36.16,-43
1687529693940000000,36.279,-52
1687529694058000000,36.396999755859376,-48
1687529694174000000,36.51300024414063,-49
1687529694292000000,36.631,-43
1687529694410000000,36.74899975585937,-48
1687529694529000000,36.868,-46
1687529694644000000,36.983,-51
1687529694764000000,37.103,-47
1687529694882000000,37.220999755859374,-41
1687529694997000000,37.336,-47
1687529695117000000,37.456,-39
1687529695233000000,37.572,-41
1687529695351000000,37.69,-41
1687529695468000000,37.807,-48
1687529695588000000,37.927,-44
1687529695692000000,38.031,-43
1687529695811000000,38.15,-47
1687529695929000000,38.268,-53
1687529696047000000,38.386,-47
1687529696167000000,38.506,-45
1687529696283000000,38.622,-47
1687529696399000000,38.738,-49
1687529696518000000,38.85700024414062,-45
1687529696634000000,38.97299975585938,-52
